GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
webshop,com.ctrlbuy.webshop.exception,PaymentException,29,9,2,0,9,4,5,2,4,2
webshop,com.ctrlbuy.webshop.exception,GlobalExceptionHandler,27,0,0,0,6,0,2,0,2,0
webshop,com.ctrlbuy.webshop.exception,CustomErrorResponse,3,0,0,0,1,0,1,0,1,0
webshop,com.ctrlbuy.webshop.exception,ControllerAdvice,3,0,0,0,1,0,1,0,1,0
webshop,com.ctrlbuy.webshop.exception,CustomerNotFoundException,5,4,0,0,2,2,1,1,1,1
webshop,com.ctrlbuy.webshop,BasicTest,25,0,2,0,9,0,3,0,2,0
webshop,com.ctrlbuy.webshop.model,CartItem,254,37,48,0,10,6,35,9,11,9
webshop,com.ctrlbuy.webshop.model,Payment,801,53,160,0,23,8,119,12,39,12
webshop,com.ctrlbuy.webshop.model,Payment.PaymentBuilder,208,0,6,0,1,0,24,0,21,0
webshop,com.ctrlbuy.webshop.model,Product,231,75,32,0,54,31,44,13,28,13
webshop,com.ctrlbuy.webshop.model,Category,193,3,38,0,4,1,31,1,12,1
webshop,com.ctrlbuy.webshop.model,OrderItem,47,27,0,0,14,2,8,7,8,7
webshop,com.ctrlbuy.webshop.model,Order.OrderStatus,0,39,0,0,0,7,0,1,0,1
webshop,com.ctrlbuy.webshop.model,Cart.CartBuilder,77,0,2,0,1,0,10,0,9,0
webshop,com.ctrlbuy.webshop.model,PaymentInfo.PaymentInfoBuilder,167,0,0,0,1,0,20,0,20,0
webshop,com.ctrlbuy.webshop.model,Cart,353,31,54,0,27,7,51,6,24,6
webshop,com.ctrlbuy.webshop.model,Order,75,116,4,0,19,26,17,27,15,27
webshop,com.ctrlbuy.webshop.model,PaymentResult,349,66,64,0,28,20,52,8,20,8
webshop,com.ctrlbuy.webshop.model,PaymentResult.PaymentResultBuilder,24,51,0,0,0,1,2,8,2,8
webshop,com.ctrlbuy.webshop.model,PaymentGatewayInfo,100,0,0,0,30,0,21,0,21,0
webshop,com.ctrlbuy.webshop.model,CartItem.CartItemBuilder,57,0,0,0,1,0,8,0,8,0
webshop,com.ctrlbuy.webshop.model,PaymentGatewayInfo.PaymentGatewayInfoBuilder,92,0,0,0,1,0,12,0,12,0
webshop,com.ctrlbuy.webshop.model,CustomerEntity,0,17,0,0,0,7,0,5,0,5
webshop,com.ctrlbuy.webshop.model,PaymentType,99,0,10,0,16,0,11,0,6,0
webshop,com.ctrlbuy.webshop.model,ValidationResult,349,0,56,0,37,0,53,0,25,0
webshop,com.ctrlbuy.webshop.model,PaymentInfo,934,49,164,0,72,18,118,14,36,14
webshop,com.ctrlbuy.webshop.model,ValidationResult.ValidationResultBuilder,56,0,0,0,1,0,8,0,8,0
webshop,com.ctrlbuy.webshop.response,JwtResponse,63,0,0,0,15,0,13,0,13,0
webshop,com.ctrlbuy.webshop.response,MessageResponse,16,0,0,0,6,0,4,0,4,0
webshop,com.ctrlbuy.webshop.service.impl,EmailServiceImpl,902,0,4,0,195,0,15,0,13,0
webshop,com.ctrlbuy.webshop.service.impl,PaymentGatewayImpl,457,0,60,0,145,0,41,0,11,0
webshop,com.ctrlbuy.webshop.security.handler,CustomAuthenticationSuccessHandler,48,0,2,0,14,0,5,0,4,0
webshop,com.ctrlbuy.webshop.controller,HomeController,150,174,14,8,36,42,12,6,1,6
